126;"Вестибюль ст. м. ""Обухово""";1981;;Транспорт;ул. Грибакиных, 27 лит А, Санкт-Петербург;
127;"Вестибюль ст. м. ""Пролетарская""";1981;;Транспорт;пр. Обуховской Обороны, 118 лит А, Санкт-Петербург;
128;"Вестибюль ст. м. ""Ломоносовская""";1970;;Транспорт;ул. Бабушкина, 69 лит А, Санкт-Петербург;
129;"Вестибюль ст. м. ""Елизаровская""";1970;;Транспорт;ул. Бабушкина, 10 / пр. Елизарова, 13, Санкт-Петербург;
130;"Вестибюль ст. м. ""Василеостровская""";1967;;Транспорт;Средний пр. В.О., 30, Санкт-Петербург;
131;"Вестибюль ст. м. ""Лиговский проспект""";1991;;Транспорт;Лиговский пр., 88, Санкт-Петербург;
132;"Вестибюль ст. м. ""Площаль Александра Невского-2""";1985;;Транспорт;Чернорецкий пер., 3, Санкт-Петербург;
133;"Вестибюль ст. м. ""Ладожская""";1985;;Транспорт;Заневский пр., 69, Санкт-Петербург;
134;"Вестибюль ст. м. ""Проспект Большевиков""";1985;;Транспорт;ул. Коллонтай, 20, Санкт-Петербург;
135;"Вестибюль ст. м. ""Улица Дыбенко""";1987;;Транспорт;ул. Дыбенко, 26 лит А, Санкт-Петербург;
136;Некрасовский рынок;1957-1960;Евдокимов С. И. , Голынкин О. Б. , Вланин Г. М;;ул. Некрасова, 52, Санкт-Петербург;
