Номер;Название;Годы постройки;Архитектор;Назначение;Адрес;Примечания, комментарии;Lat;Lon
111;"Вестибюль ст. м. ""Гражданский проспект""";1978;;Транспорт;Гражданский пр., 116 лит А, Санкт-Петербург;;60.034978;30.418186
112;"Вестибюль ст. м. ""Девяткино""";1978;;Транспорт;ЛО, Мурино, Привокзальная площадь, 6, Санкт-Петербург;;60.050291;30.442656
113;"Вестибюль ст. м. ""Купчино""";1972;;Транспорт;Витебский проспект, 108, Санкт-Петербург;;59.827835;30.376388
114;"Вестибюль ст. м. ""Звездная""";1972;;Транспорт;ул. Звёздная, 3 к1, Санкт-Петербург;;59.833131;30.349429
115;"Вестибюль ст. м. ""Парк Победы""";1961;;Транспорт;Московский пр., 188, Санкт-Петербург;;59.866314;30.321977
116;"Вестибюль ст. м. ""Электросила""";1961;;Транспорт;Московский пр., 141, Санкт-Петербург;;59.877976;30.317225
117;"Вестибюль ст. м. ""Фрунзенская""";1961;;Транспорт;Московский пр., 71, Санкт-Петербург;;59.906242;30.317494
118;"Вестибюль ст. м. ""Сенная площадь""";1963;;Транспорт;Сенная пл., 2а, Санкт-Петербург;;59.927053;30.32045
119;"Вестибюль ст. м. ""Горьковская""";1963;;Транспорт;Александровский парк, 6, Санкт-Петербург;;59.956165;30.318716
120;"Вестибюль ст. м. ""Черная речка""";1982;;Транспорт;ул. Савушкина, 2 лит А, Санкт-Петербург;;59.985458;30.300866
121;"Вестибюль ст. м. ""Пионерская""";1982;;Транспорт;Коломяжский пр., 24, Санкт-Петербург;;60.002503;30.296509
122;"Вестибюль ст. м. ""Удельная""";1982;;Транспорт;ул. Елецкая, 15а, Санкт-Петербург;;60.016735;30.31567
123;"Вестибюль ст. м. ""Озерки""";1988;;Транспорт;Выборгское ш., 1, Санкт-Петербург;;60.037117;30.321554
124;"Вестибюль ст. м. ""Проспект Просвещения""";1988;;Транспорт;пр. Энгельса, 140, Санкт-Петербург;;60.051419;30.332496
125;"Вестибюль ст. м. ""Рыбацкое""";1984;;Транспорт;ул. Тепловозная, 2, Санкт-Петербург;;59.828464;30.511036
126;"Вестибюль ст. м. ""Обухово""";1981;;Транспорт;ул. Грибакиных, 27 лит А, Санкт-Петербург;;59.848687;30.457775
127;"Вестибюль ст. м. ""Пролетарская""";1981;;Транспорт;пр. Обуховской Обороны, 118 лит А, Санкт-Петербург;;59.86443;30.472292
128;"Вестибюль ст. м. ""Ломоносовская""";1970;;Транспорт;ул. Бабушкина, 69 лит А, Санкт-Петербург;;59.877285;30.441749
129;"Вестибюль ст. м. ""Елизаровская""";1970;;Транспорт;ул. Бабушкина, 10 / пр. Елизарова, 13, Санкт-Петербург;;59.894572;30.418186
130;"Вестибюль ст. м. ""Василеостровская""";1967;;Транспорт;Средний пр. В.О., 30, Санкт-Петербург;;59.943129;30.279325
131;"Вестибюль ст. м. ""Лиговский проспект""";1991;;Транспорт;Лиговский пр., 88, Санкт-Петербург;;59.920726;30.355313
132;"Вестибюль ст. м. ""Площаль Александра Невского-2""";1985;;Транспорт;Чернорецкий пер., 3, Санкт-Петербург;;59.923482;30.383197
133;"Вестибюль ст. м. ""Ладожская""";1985;;Транспорт;Заневский пр., 69, Санкт-Петербург;;59.932482;30.439216
134;"Вестибюль ст. м. ""Проспект Большевиков""";1985;;Транспорт;ул. Коллонтай, 20, Санкт-Петербург;;59.919775;30.466767
135;"Вестибюль ст. м. ""Улица Дыбенко""";1987;;Транспорт;ул. Дыбенко, 26 лит А, Санкт-Петербург;;59.90741;30.483395
136;Некрасовский рынок;1957-1960;Евдокимов С. И. , Голынкин О. Б. , Вланин Г. М;;ул. Некрасова, 52, Санкт-Петербург;;59.938703;30.365913
